txn_id,event_ts,amount,currency,merchant_id,merchant_category,channel,country,customer_id,customer_tenure_days,txns_30d,avg_amount_30d,prior_declines_30d,hour,is_new_device,payment_method,device_fingerprint,ops_review_code,rules_engine_decline,is_fraud
TXN-000790,19/08/2026 22:38,9.42,NGN,M-2017,,ios,NGA,C-10165,548.0,11,9.5,0,1,1,momo,DEV-45366,CNF,Y,1
TXN-002393,2026-08-09T11:21:00,32.23,GHS,M-2048,restaurants,ios,gh,C-10578,1.0,11,18.7,0,11,0,momo,DEV-27711,CLR,N,0
TXN-000145,03/09/2026 23:54,34.02,USD,M-2073,electronics,android,Kenya,C-10623,1442.0,8,49.68,1,1,0,card,DEV-14008,CLR,N,0
TXN-001134,05/09/2026 05:33,67.43,GHS,M-2041,,android,ng,C-10283,720.0,34,88.69,0,12,0,card,DEV-83974,CLR,N,0
TXN-000464,17/08/2026 14:38,8.67,GHS,M-2016,RESTAURANTS,web,Ghana,C-10564,448.0,0,12.06,5,11,0,card,DEV-59655,CLR,Y,0
TXN-000292,2026-08-04T05:03:00,6.90,GHS,M-2089,crypto,ios,Ghana,C-10442,1334.0,9,4.87,0,16,0,momo,DEV-80486,CNF,Y,1
TXN-000558,2026-08-14T09:29:00,16.19,GHS,M-2007,Telecom,ussd,ng,C-10653,6.0,18,21.2,6,14,0,card,DEV-88568,CLR,Y,0
TXN-001761,2026-09-03 14:15:00,8.74,NGN,M-2073,electronics,android,GHA,C-10262,264.0,6,5.54,0,,0,momo,DEV-18945,CLR,N,0
TXN-002041,2026-08-03T15:50:00,189.01,GHS,M-2030,telecom,ios,ke,C-10614,11.0,11,156.74,0,7,0,momo,DEV-78882,CLR,N,0
TXN-002722,2026-08-31T15:09:00,42.30,USD,M-2024,,android,Ghana,C-10498,37.0,32,65.18,7,16,0,card,DEV-34897,CLR,Y,0
TXN-001374,2026-09-03T01:05:00,24.73,GHS,M-2019,RESTAURANTS,web,ke,C-10004,269.0,38,22.34,2,13,1,momo,DEV-36168,CLR,Y,0
TXN-000355,01/09/2026 14:56,61.15,NGN,M-2064,Restaurants,android,gh,C-10707,1176.0,37,81.34,0,11,1,momo,DEV-71532,CLR,Y,0
TXN-001747,2026-07-30 22:36:00,17.57,GHS,M-2005,other,pos,NGA,C-10356,946.0,27,20.96,0,5,0,momo,DEV-15297,CLR,N,0
TXN-001794,2026-08-09 06:24:00,,NGN,M-2094,ELECTRONICS,ios,GH,C-10629,259.0,1,34.49,0,8,0,bank,DEV-94652,CLR,N,0
